food,calories,protein,fat,carbs
oyster,252.0,9.51,2.44,0.0
oyster mushroom dried,1019.0,19.04,2.86,33.07
paarai,435.0,21.58,1.84,0.0
padayappa,360.0,19.7,0.69,0.0
pak choi leaves,67.0,1.41,0.25,1.78
pali kora,394.0,19.25,1.81,0.0
palm fruit tender,101.0,0.5,0.12,4.92
palm oil,0.0,0.0,0.0,0.0
pambada,537.0,21.95,4.44,0.0
pandukopa,360.0,19.73,0.65,0.0
paneer,265.0,18.0,20.0,2.1
pangas,852.0,17.12,16.77,0.0
panner,1079.0,18.86,14.78,12.41
papaya,71.5,0.5,0.265,7.7
papaya ripe,100.0,0.42,0.16,4.61
parava,467.0,21.5,2.74,0.0
parcus,361.0,19.87,0.62,0.0
parrot fish,375.0,20.82,0.57,0.0
parsley,305.0,5.55,1.14,9.43
parwar,101.0,1.4,0.3,3.54
peach,168.0,0.86,0.37,7.82
peaches yellow,42.0,0.91,0.27,10.1
peanut butter smooth style,597.0,22.5,51.1,22.3
peanuts,567.0,26.0,49.0,16.0
pear,157.0,0.36,0.27,8.09
pears bartlett,57.0,0.38,0.16,15.1
peas,210.5,6.125,0.265,12.940000000000001
peas dry,1269.0,20.43,1.89,48.93
pepper,251.0,10.0,3.3,64.0
pepper black,910.0,10.12,2.74,36.22
perinkilichai,387.0,20.89,0.87,0.0
phalsa,299.0,1.66,0.14,15.09
phopat,424.0,22.05,1.33,0.0
pickles cucumber dill or kosher dill,12.0,0.48,0.43,1.99
pigeon meat with skin,528.0,17.94,6.03,0.0
pine seed,2486.0,12.55,48.79,26.77
pineapple,180.0,0.52,0.16,9.42
pippali,906.0,10.53,2.27,35.7
piranha,549.0,20.46,5.43,0.0
pistachio nuts,2257.0,23.35,42.49,15.82
plantain flower,89.0,1.47,0.63,2.15
plantain green,334.0,1.18,0.23,17.58
plantain stem,165.0,0.35,0.16,8.64
plum,238.0,0.64,0.4,12.1
pn,99.0,24.0,0.3,0.0
pns big,380.0,19.24,0.52,0.0
pns small,297.0,13.07,0.78,0.0
poha,350.0,6.5,1.0,77.0
pomegranate maroon seeds,229.0,1.33,0.15,11.58
pomfret black,515.0,18.91,4.83,0.0
pomfret snub nose,375.0,21.05,0.46,0.0
pomfret white,513.0,19.02,5.12,0.0
ponnaganni,213.0,5.29,0.71,5.17
poppy seeds,1768.0,20.31,30.38,12.37
pork chops,748.0,19.41,11.3,0.0
pork cured bacon restaurant,500.0,40.9,36.5,2.1
pork ham,1006.0,18.83,18.55,0.0
pork heart,457.0,16.31,4.87,0.0
pork kidneys,379.0,14.35,3.65,0.0
pork liver,484.0,19.89,3.94,0.0
pork lungs,358.0,15.13,2.74,0.0
pork shoulder,993.0,17.41,18.83,0.0
pork spleen,357.0,15.13,2.71,0.0
pork stomach,550.0,15.36,7.81,0.0
pork tube,587.0,14.96,8.98,0.0
potato,77.0,2.0,0.1,17.0
potato brown skin big,292.0,1.54,0.23,14.89
potato brown skin small,255.0,1.35,0.22,12.9
potato red skin,306.0,1.83,0.22,15.43
poultry chicken gizzard,386.0,18.22,2.07,0.0
poultry chicken liver,518.0,21.57,4.08,0.0
pranel,405.0,19.69,1.89,0.0
pulli paarai,399.0,20.06,1.55,0.0
pummelo,210.0,0.68,0.42,10.64
pumpkin,26.0,1.0,0.1,7.0
pumpkin green cylindrical,103.0,0.87,0.18,4.22
pumpkin leaves tender,185.0,4.21,0.74,4.75
pumpkin orange round,97.0,0.84,0.16,4.0
quail meat,576.0,20.92,5.95,0.0
queen fish,400.0,20.97,1.17,0.0
quinoa,1374.0,13.11,5.5,53.65
raai fish,430.0,21.61,1.69,0.0
raai vanthu,410.0,19.39,2.17,0.0
rabbit chops,565.0,22.61,4.88,0.0
rabbit leg,584.0,21.31,5.99,0.0
rabbit shoulder,635.0,20.01,7.96,0.0
radish elongate red skin,134.0,0.67,0.13,6.71
radish elongate white skin,135.0,0.77,0.15,6.56
radish leaves,109.0,2.22,0.51,2.77
radish round red skin,130.0,0.89,0.16,6.07
radish round white skin,129.0,0.8,0.14,6.13
ragi,1342.0,7.16,1.92,66.82
raisins dried black,1279.0,2.57,0.34,71.29
raisins dried golden,1241.0,2.76,0.35,68.79
rajmah black,1247.0,19.01,1.62,49.59
rajmah brown,1245.0,19.5,1.68,48.83
rajmah red,1252.0,19.91,1.77,48.61
rambutan,306.0,0.68,0.16,16.84
rani,377.0,18.83,1.49,0.0
rava,360.0,12.0,1.0,73.0
